ID20141020,雑種・品種2,GreenList和名,GreenList和名別名,GreenList学名,科番号,新エングラー科和名,新エングラー科学名,自生,固有,APG科名,APG科和名
56,,アスナロ,,Thujopsis dolabrata (L.f.) Siebold et Zucc.,8,ヒノキ科,CUPRESSACEAE,自生,固有,CUPRESSACEAE,ヒノキ科
57,,"アシウスギ, サワスギ",,Cryptomeria japonica (L.f.) D.Don var. radicans Nakai,9,スギ科,TAXODIACEAE,自生,固有,CUPRESSACEAE,ヒノキ科
58,,スギ,,Cryptomeria japonica (L.f.) D.Don,9,スギ科,TAXODIACEAE,自生,固有,CUPRESSACEAE,ヒノキ科
59,,ハイイヌガヤ,,Cephalotaxus harringtonia (Knight ex Forbes) K.Koch var. nana (Nakai) Rehder,10,イヌガヤ科,CEPHALOTAXACEAE,自生,,TAXACEAE,イチイ科
60,,イヌガヤ,,Cephalotaxus harringtonia (Knight ex Forbes) K.Koch var. harringtonia,10,イヌガヤ科,CEPHALOTAXACEAE,自生,,TAXACEAE,イチイ科
61,,キャラボク,,Taxus cuspidata Siebold et Zucc. var. nana Hort. ex Rehder,11,イチイ科,TAXACEAE,自生,,TAXACEAE,イチイ科
62,,イチイ,"アララギ, オンコ",Taxus cuspidata Siebold et Zucc.,11,イチイ科,TAXACEAE,自生,,TAXACEAE,イチイ科
63,ｆ,キミノオンコ,,Taxus cuspidata Siebold et Zucc. f. luteobaccata (Miyabe et Tatew.) Hayashi,11,イチイ科,TAXACEAE,自生,,TAXACEAE,イチイ科
64,,チャボガヤ,,Torreya nucifera Siebold et Zucc. var. radicans Nakai,11,イチイ科,TAXACEAE,自生,固有,TAXACEAE,イチイ科
65,,カヤ,,Torreya nucifera (L.) Siebold et Zucc.,11,イチイ科,TAXACEAE,自生,,TAXACEAE,イチイ科
66,f,コツブガヤ,,Torreya nucifera Siebold et Zucc. f. igaensis (Doi et Morikawa) Kitam.,11,イチイ科,TAXACEAE,自生,,TAXACEAE,イチイ科
67,f,ヒダリマキガヤ,,Torreya nucifera Siebold et Zucc. f. macrosperma (Miyoshi) Kusaka,11,イチイ科,TAXACEAE,自生,,TAXACEAE,イチイ科
68,f,ハダカガヤ,,Torreya nucifera Siebold et Zucc. f. nuda (Miyoshi) Kusaka,11,イチイ科,TAXACEAE,自生,,TAXACEAE,イチイ科
69,f,マルミガヤ,,Torreya nucifera Siebold et Zucc. f. sphaerica (Kimura) Yonek.,11,イチイ科,TAXACEAE,自生,,TAXACEAE,イチイ科
70,,リュウキュウイヌマキ,,Podocarpus fasciculatus Laubenf.,12,マキ科,PODOCARPACEAE,自生,,PODOCARPACEAE,マキ科
71,f,ラカンマキ,,Podocarpus macrophyllus (Thunb.) Sweet f. macrophyllus,12,マキ科,PODOCARPACEAE,自生,,PODOCARPACEAE,マキ科
72,,イヌマキ,,Podocarpus macrophyllus (Thunb.) Sweet,12,マキ科,PODOCARPACEAE,自生,,PODOCARPACEAE,マキ科
73,,ナギ,,Nageia nagi (Thunb.) Kuntze,12,マキ科,PODOCARPACEAE,自生,,PODOCARPACEAE,マキ科
74,,コウヤマキ,,Sciadopitys verticillata (Thunb.) Siebold et Zucc.,13,コウヤマキ科,SCIADOPITYACEAE,自生,固有,SCIADOPITYACEAE,コウヤマキ科
